,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median)
1,IFR SB,None,-3649.625278581252,7303.250557162504,7306.118531571475,67368.10108797839,69.00000000000074,0.0,0.0
2,IFR SB,E,-1248.362719528504,2502.725439057008,2507.0274006704635,58099.166599425575,68.99999675952361,0.5360359153815373,0.6684051258109076
3,IFR SB,F,-1210.6341197217528,2427.2682394435055,2431.570201056961,55241.32393499729,68.99999940571391,0.5546054774642076,0.6789070967034405
4,IFR SB,C,-970.3045745112719,1946.6091490225438,1950.9111106359992,50466.22776193945,68.99999918865905,0.622663778656807,0.7458041960218332
5,IFR SB,"E, F",-1062.6862032663867,2133.3724065327733,2139.1083553507137,55191.54124886175,68.99986667325629,0.5855046475884288,0.7198214286100546
6,IFR SB,"E, C",-968.244692909663,1944.489385819326,1950.2253346372665,50442.14999547788,68.99999959705204,0.6229948621474509,0.7461349138119708
7,IFR SB,"E, F, C",-899.2816245126265,1808.563249025253,1815.7331850476787,50646.650965255656,68.99999901485157,0.636445209462312,0.7648711515883058
8,IFRGSB,None,-74.98081964059432,155.96163928118864,160.26360089464407,917.7559157027636,68.99999770445089,0.9949967211808849,0.9950226685123642
9,IFRGSB,E,-72.6728995889533,153.3457991779066,159.0817479958472,1114.2591647925728,105.93660631374708,0.9945545799516333,0.9956609436455296
10,IFRGSB,F,-59.15500268868138,126.31000537736276,132.04595419530335,756.4595442443934,99.51040443506315,0.9987163597143025,0.9994273275026151
11,IFRGSB,"E, F",-59.147404807319816,128.29480961463963,135.46474563706536,740.791326527309,73.45337140431674,0.9985873243505828,0.9989510521991418
12,IFRGSB,"E, C",-71.2386465043111,152.4772930086222,159.64722903104794,1598.325069020922,591.1948888220988,0.9928543914496826,0.9955821659089416
13,IFRGSB,"F, C",-59.15131738529928,128.30263477059856,135.4725707930243,745.5942188018527,80.05789057698328,0.9985685429977407,0.998949962068728
14,IFRGSB,"E, F, C",-67.01264557315304,146.02529114630607,154.62921437321694,605.3169732443533,205.52101920149542,0.9972619800384426,0.9966820966811901
15,S,None,-74.93313304148754,155.86626608297507,160.1682276964305,928.4217223603265,147.80914525951107,0.9949667885620023,0.9950359423491445
16,S,E,-72.66713256234473,153.33426512468947,159.07021394263006,1123.851596809769,210.9003124834944,0.9945199062160518,0.9956625504661824
17,S,F,-59.66162478968997,127.32324957937993,133.05919839732053,759.169901317469,92.28238274084536,0.9986004030084551,0.9992861714250862
18,S,C,-71.89850088915088,151.79700177830176,157.53295059624236,1344.722766596625,98.40826262606417,0.9938543336509298,0.9958767081822324
19,S,"E, F",-59.66087840127895,129.3217568025579,136.49169282498363,754.7218256547216,81.24104669615909,0.9984279701736354,0.9988079871447479
20,S,"E, C",-71.2040363764028,152.4080727528056,159.57800877523132,1409.7782644520214,563.2312662755066,0.9935668369091862,0.9955918090529904
21,S,"F, C",-59.65296184640246,129.30592369280492,136.47585971523065,745.4627723759396,90.39609001955975,0.9984642551006792,0.9988101928713274
22,S,"E, F, C",-59.65290542202476,131.30581084404952,139.90973407096038,744.4948377789962,487.56989485794816,0.9982786614767805,0.9983318163518106
23,DW2,None,-92.57072948299114,189.14145896598228,192.00943337495258,2031.4856191789763,154.80688941565603,0.9873462529244171,0.9901264168064084
24,DW2,E,-91.17481424674102,188.34962849348204,192.65159010693748,2138.6820844094345,219.45184052708117,0.9870476509948007,0.9905149777722178
25,DW2,F,-83.55361167355332,173.10722334710664,177.40918496056207,2301.1610312874723,11.610762609284802,0.9880317922535727,0.9926363829661468
26,DW2,C,-89.07438700128327,184.14877400256654,188.45073561602197,2208.9834854896462,7.56668945320139,0.9872234253130985,0.9910996436730639
27,DW2,"E, F",-83.55128392149052,175.10256784298105,180.83851666092164,2301.4022058178616,4.757958758638323,0.9878421506494673,0.9926299861346453
28,DW2,"E, C",-88.98539879028809,185.97079758057617,191.70674639851677,2246.4878653251417,32.08230542322866,0.9869125101325145,0.9911159220261243
29,DW2,"F, C",-83.3600570938672,174.7201141877344,180.456063005675,2286.4098068920716,6.315537110394514,0.9879381682551921,0.992683266141285
30,DW2,"E, F, C",-83.32461941877173,176.64923883754346,183.8191748599692,2279.095597620573,37.07076233484548,0.9877837015828101,0.9922147476176183
31,DW3,E,-72.08773971923225,152.1754794384645,157.9114282564051,1087.9488826141708,7.716596085966768,0.9947752111512316,0.9958239820755007
32,DW3,F,-57.09962860281749,122.19925720563498,127.93520602357556,528.0457018475142,16.021015042563807,1.0,1.0
33,DW3,C,-71.82344847151953,151.64689694303905,157.38284576097965,1307.6525354369917,71.78282762994999,0.9940086627630659,0.9958976194390861
34,DW3,"E, C",-70.97201629952698,151.94403259905397,159.1139686214797,1349.8648377768416,47.32136838221285,0.9938393919580059,0.9956564549574909
35,GM,None,-74.9817147963133,153.9634295926266,156.8314040015969,917.0677319250057,87.74677904996244,0.9951883339506813,0.9950224193406656
36,GM,E,-72.70005321327798,151.40010642655596,155.7020680400114,1114.3283083727163,811.2345708199206,0.9947378754489519,0.9956575328528123
37,GM,F,-59.66172245742845,125.3234449148569,129.62540652831234,759.6549462658442,87.9032532380169,0.9987877941564863,0.999286826565977
38,GM,C,-71.94596362226517,149.89192724453034,154.19388885798577,1336.1971831655533,62.367286284146196,0.9940655337600013,0.9958674379904465
39,GM,"E, F",-59.660966746031164,127.32193349206233,133.05788231000292,755.1557556874203,102.77655047388885,0.998615554452676,0.9992863547705454
40,GM,"E, C",-71.23700012756805,150.4740002551361,156.2099490730767,1402.5759968437542,1320.0086790228986,0.9937761158900027,0.996061016866361
41,GM,"F, C",-59.65305630992239,127.30611261984478,133.04206143778538,745.9384418344108,110.42226946477413,0.9986516819848664,0.9992885587923014
